message_type	message	enc_class	enc_member	offset	path	target_kind	target_class	target_method	target_param	target_index	target_path
DEREFERENCE_NULLABLE	dereferenced expression serverConfig is @Nullable	com.netflix.eureka.ServerRequestAuthFilter	logAuth(javax.servlet.ServletRequest)	1941	/tmp/projects/eureka/eureka-core/src/main/java/com/netflix/eureka/ServerRequestAuthFilter.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression taskExecutor is @Nullable	com.netflix.eureka.cluster.PeerEurekaNodes	shutdown()	4011	/tmp/projects/eureka/eureka-core/src/main/java/com/netflix/eureka/cluster/PeerEurekaNodes.java	null	null	null	null	null	null
METHOD_NO_INIT	initializer method does not guarantee @NonNull field peerEurekaNodes (line 123) is initialized along all control-flow paths (remember to check for exceptions or early returns).	com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl	PeerAwareInstanceRegistryImpl(com.netflix.eureka.EurekaServerConfig,com.netflix.discovery.EurekaClientConfig,com.netflix.eureka.resources.ServerCodecs,com.netflix.discovery.EurekaClient)	4973	/tmp/projects/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/PeerAwareInstanceRegistryImpl.java	null	null	null	null	null	null
PASS_NULLABLE	passing @Nullable parameter 'info' where @NonNull is required	com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl	replicateInstanceActionsToPeers(com.netflix.eureka.registry.PeerAwareInstanceRegistryImpl.Action,java.lang.String,java.lang.String,com.netflix.appinfo.InstanceInfo,com.netflix.appinfo.InstanceInfo.InstanceStatus,com.netflix.eureka.cluster.PeerEurekaNode)	28112	/tmp/projects/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/PeerAwareInstanceRegistryImpl.java	PARAMETER	com.netflix.eureka.cluster.PeerEurekaNode	register(com.netflix.appinfo.InstanceInfo)	info	0	/tmp/projects/eureka/eureka-core/src/main/java/com/netflix/eureka/cluster/PeerEurekaNode.java
METHOD_NO_INIT	initializer method does not guarantee @NonNull field responseCache (line 111) is initialized along all control-flow paths (remember to check for exceptions or early returns).	com.netflix.eureka.registry.AbstractInstanceRegistry	AbstractInstanceRegistry(com.netflix.eureka.EurekaServerConfig,com.netflix.discovery.EurekaClientConfig,com.netflix.eureka.resources.ServerCodecs)	4787	/tmp/projects/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression overriddenInstanceStatus is @Nullable	com.netflix.eureka.registry.AbstractInstanceRegistry	renew(java.lang.String,java.lang.String,boolean)	18152	/tmp/projects/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	enhanced-for expression remoteRegions is @Nullable	com.netflix.eureka.registry.AbstractInstanceRegistry	getApplicationsFromMultipleRegions(java.lang.String[])	36267	/tmp/projects/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression applications is @Nullable	com.netflix.eureka.registry.AbstractInstanceRegistry	getApplicationDeltas()	43442	/tmp/projects/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java	null	null	null	null	null	null
RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	com.netflix.eureka.registry.AbstractInstanceRegistry	getInstanceByAppAndId(java.lang.String,java.lang.String,boolean)	50625	/tmp/projects/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java	METHOD	com.netflix.eureka.registry.AbstractInstanceRegistry	getInstanceByAppAndId(java.lang.String,java.lang.String,boolean)	null	null	/tmp/projects/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AbstractInstanceRegistry.java
METHOD_NO_INIT	initializer method does not guarantee @NonNull fields appName (line 108), id (line 109), lastDirtyTimestamp (line 110), instanceInfo (line 113), action (line 114) are initialized along all control-flow paths (remember to check for exceptions or early returns).	com.netflix.eureka.cluster.protocol.ReplicationInstance$ReplicationInstanceBuilder	ReplicationInstanceBuilder()	4131	/tmp/projects/eureka/eureka-core/src/main/java/com/netflix/eureka/cluster/protocol/ReplicationInstance.java	null	null	null	null	null	null
ASSIGN_FIELD_NULLABLE	assigning @Nullable expression to @NonNull field	com.netflix.eureka.registry.RemoteRegionRegistry	RemoteRegionRegistry(com.netflix.eureka.EurekaServerConfig,com.netflix.discovery.EurekaClientConfig,com.netflix.eureka.resources.ServerCodecs,java.lang.String,java.net.URL)	7915	/tmp/projects/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/RemoteRegionRegistry.java	FIELD	com.netflix.eureka.registry.RemoteRegionRegistry	null	eurekaHttpClient	null	/tmp/projects/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/RemoteRegionRegistry.java
RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	com.netflix.eureka.registry.RemoteRegionRegistry	getApplications()	21666	/tmp/projects/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/RemoteRegionRegistry.java	METHOD	com.netflix.eureka.registry.RemoteRegionRegistry	getApplications()	null	null	/tmp/projects/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/RemoteRegionRegistry.java
DEREFERENCE_NULLABLE	dereferenced expression this.applications.get() is @Nullable	com.netflix.eureka.registry.RemoteRegionRegistry	getApplication(java.lang.String)	21914	/tmp/projects/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/RemoteRegionRegistry.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression applications.get() is @Nullable	com.netflix.eureka.registry.RemoteRegionRegistry	getInstancesById(java.lang.String)	22141	/tmp/projects/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/RemoteRegionRegistry.java	null	null	null	null	null	null
METHOD_NO_INIT	initializer method does not guarantee @NonNull field serverConfig (line 111) is initialized along all control-flow paths (remember to check for exceptions or early returns).	com.netflix.eureka.RateLimitingFilter	RateLimitingFilter()	4589	/tmp/projects/eureka/eureka-core/src/main/java/com/netflix/eureka/RateLimitingFilter.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression e.getMessage() is @Nullable	com.netflix.eureka.cluster.ReplicationTaskProcessor	maybeReadTimeOut(java.lang.Throwable)	8817	/tmp/projects/eureka/eureka-core/src/main/java/com/netflix/eureka/cluster/ReplicationTaskProcessor.java	null	null	null	null	null	null
DEREFERENCE_NULLABLE	dereferenced expression resourceRecordSetWithHostedZone is @Nullable	com.netflix.eureka.aws.Route53Binder	unbindFromDomain(java.lang.String)	10360	/tmp/projects/eureka/eureka-core/src/main/java/com/netflix/eureka/aws/Route53Binder.java	null	null	null	null	null	null
RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	com.netflix.eureka.aws.Route53Binder$ResourceRecordSetWithHostedZone	getResourceRecordSet()	13040	/tmp/projects/eureka/eureka-core/src/main/java/com/netflix/eureka/aws/Route53Binder.java	METHOD	com.netflix.eureka.aws.Route53Binder$ResourceRecordSetWithHostedZone	getResourceRecordSet()	null	null	/tmp/projects/eureka/eureka-core/src/main/java/com/netflix/eureka/aws/Route53Binder.java
DEREFERENCE_NULLABLE	dereferenced expression existingLease is @Nullable	com.netflix.eureka.registry.rule.LeaseExistsRule	apply(com.netflix.appinfo.InstanceInfo,com.netflix.eureka.lease.Lease<com.netflix.appinfo.InstanceInfo>,boolean)	1593	/tmp/projects/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/rule/LeaseExistsRule.java	null	null	null	null	null	null
METHOD_NO_INIT	initializer method does not guarantee @NonNull field instanceStatusOverrideRule (line 46) is initialized along all control-flow paths (remember to check for exceptions or early returns).	com.netflix.eureka.registry.AwsInstanceRegistry	AwsInstanceRegistry(com.netflix.eureka.EurekaServerConfig,com.netflix.discovery.EurekaClientConfig,com.netflix.eureka.resources.ServerCodecs,com.netflix.discovery.EurekaClient)	1698	/tmp/projects/eureka/eureka-core/src/main/java/com/netflix/eureka/registry/AwsInstanceRegistry.java	null	null	null	null	null	null
RETURN_NULLABLE	returning @Nullable expression from method with @NonNull return type	com.netflix.eureka.EurekaServerContextHolder	getInstance()	1389	/tmp/projects/eureka/eureka-core/src/main/java/com/netflix/eureka/EurekaServerContextHolder.java	METHOD	com.netflix.eureka.EurekaServerContextHolder	getInstance()	null	null	/tmp/projects/eureka/eureka-core/src/main/java/com/netflix/eureka/EurekaServerContextHolder.java
